09011649,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011649,"Alt-Heiligensee 11–105
Fährstraße 1–7, 33–36, Straße 366 Nr. 2–3, 20–22
","Ortskern Heiligensee mit Dorfanger, Kirche und Straße Alt-Heiligensee,
Baudenkmale siehe: Alt-Heiligensee, Dorfkirche; 33/37; 38; 39; 43; 45/47; 50; 52/54; 55; 56/58; 57/59; 61–61A; 67; 66/68; 73/75; 76/80; 77; 84; 83/89; 90/92; 93/97; 96/98; 104.
Gartendenkmal siehe: Alt-Heiligensee, Dorfanger.",Konstituierende Bestandteile des Ensembles:,52.607342,13.212093,""
09012308,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009012308,"Ruppiner Chaussee 213/237, 251
Schulzendorfer Straße 1–2
","S-Bahnhof Schulzendorf
Baudenkmale siehe: Ruppiner Chaussee 217/233; 235/237...
",Bestandteile des Ensembles:,52.613544,13.245381,""
09011670,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011670,"Alt-Heiligensee 56/58
",Gemeindeschule Heiligensee,"Gemeindeschule Heiligensee, Stall und Schulgebäude und Küsterwohnhaus, 1896 von Schönrock, Erweiterung der Schule 1913–1914 von Ernst Busse
siehe auch: Ensemble Alt-Heiligensee 11–105...
",52.607824,13.21102_,""
09011688,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011688,"Alt-Heiligensee 107/109
",Haus Friedrich und Haus Stellfeldt,Gesamtkonzept 1965-66 von Heinz Schudnagies,52.603431,13.210088,""
09010133,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009010133,"Karwitzer Pfad 5/7, 7A–D, 10, 13/15, 13A-D
Deeper Pfad 1/5
",„Marktplatz“ der Siedlung Heiligensee,1935–38 von Fritz Buck,52.621793,13.240405,""
09012313,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009012313,"Ruppiner Chaussee 268
",Kaserne für das I. Bataillon/Flakregiment 32 (Unterkunft der Berliner Bereitschaftspolizei),1936–1937 von Dölger (?),52.617502,13.246094,""
09012346,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009012346,"Schulzendorfer Straße 10/12
Andornsteig 1/3, Helmkrautstraße 48/54
",Wohnanlage Im Eichengrund,1937–1938 von Hans Scharoun,52.614556,13.242502,""
09010131,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009010131,"Thurbrucher Steig 1/7
Ziegenorter Pfad 16/22
",Mehrfamilienhäuser mit Poststelle der Siedlung Heiligensee,1935 von Fritz Buck,52.622836,13.23618_,""
09010130,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009010130,"Ziegenorter Pfad 9/39, 12/14, 32/74
Sagemühler Steig 1/3, Thurbrucher Steig 2/10
",Siedlung Heiligensee,"Reihenhäuser mit Vor- und Küchengärten, 1922–1924 von Hermann Jansen (1. Bauabschnitt)",52.623839,13.236177,""
09097773,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009097773,"A 111
",Bärenskulptur,1983 von Günter Anlauf,52.627971,13.241676,""
