09011952,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011952,"Fellbacher Straße 18–19
Heidenheimer Straße 46 Hermsdorfer Damm 144/150 Schramberger Straße 23/27
",Georg Herwegh-Oberschule mit Direktorenwohnhaus,"1926–28 vom Hochbau- und Siedlungsamt Reinickendorf, Wohnhaus um 1930",52.616392,13.302119,""
09011996,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011996,"Glienicker Straße
Schloßstraße 28A
",S-Bahnhof Hermsdorf,"Südtunnel, 1895, Empfangsgebäude, Nordtunnel, Bahnsteig mit Aufbauten, 1908–13 von Karl Cornelius; Eisenbahnerwohnhaus, 1923 von Richard Brademann; Bahnhofsvorplatz, 1912 von Ludwig Lesser",52.617728,13.308102,""
09012044,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009012044,"Hillmannstraße 8/10
",Villenkolonie Hillmann,"Wohnhäuser, 1895 von Hugo Behrens",52.612388,13.302907,""
09011647,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011647,"Almutstraße
",Ev. Dorfkirche Hermsdorf,1754–56,52.615027,13.317952,""
09011691,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011691,"Alt-Hermsdorf 2–3
",Doppelwohnhaus,1. Hälfte 19. Jh. (siehe Ensemble Alt-Hermsdorf 1–4...),52.615435,13.317996,""
09011693,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011693,"Alt-Hermsdorf 8
",Wohnhaus,"letztes Drittel 18. Jh., Stall, 1902, Werkstattgebäude (Wohnhaus), Ende 19. Jh. (siehe Ensemble Alt-Hermsdorf 1–4...)",52.614475,13.319765,""
09011694,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011694,"Alt-Hermsdorf 10
",Kossätenhof Hermann,"Wohnhaus, Mitte 18. Jh. (siehe Ensemble Alt-Hermsdorf 1–4...)",52.614098,13.32091_,""
09011695,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011695,"Alt-Hermsdorf 11
",Bauernhof mit Wohnhaus und rückwärtigen Ställen,2. Hälfte 19. Jh. und 1898 (siehe Ensemble Alt-Hermsdorf 1–4...),52.613871,13.321384,""
09011696,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011696,"Alt-Hermsdorf 27
",Kossätenhof Müller,"Wohnhaus, 2. Hälfte 18. Jh., Stall, 1892 (siehe Ensemble Alt-Hermsdorf 1–4...)",52.614152,13.321628,""
09011700,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011700,"Alt-Hermsdorf 35
",Gemeindeschule Hermsdorf (Heimatmuseum),"1889, Erweiterung 1897–98 von Ernst Busse, Schulhaus auf dem Hof, 1905–06 von Gustav Hoffmann (?) (siehe Ensemble Alt-Hermsdorf 1–4...)",52.615456,13.318677,""
