09040176,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040176,"Einbecker Straße 74, 78
",Mietshäuser,Bestandteile des Ensembles:,52.508016,13.508176,""
09040162,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040162,"Am Tierpark
",Schloss Friedrichsfelde und ehemaliges Küchengebäude,"1695 von Johann Arnold Nering, Umbau 1719 von Martin Heinrich Böhme (siehe Gartendenkmal Am Tierpark)",52.504441,13.523098,""
09040193,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040193,"Archenholdstraße 56–86
Bietzkestraße 6–12, Delbrückstraße 9–15, Marie-Curie-Allee 62–90
","Sonnenhof, Wohnanlage mit Freiflächen des Wohnhofs und Vorgärten","1926/1927 von Erwin Anton Gutkind
",52.503879,13.500273,""
09040195,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040195,"Friedenhorster Straße 5–8
Ontarioseestraße 2–14, Splanemannstraße 3–10, 11–17, 18–21
",Wohnhausgruppe mit Vorgärten,"Großplattenbauweise, 1926/1927 von Wilhelm Primke",52.494058,13.520938,""
09040196,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040196,"Kraetkestraße 2–41
Ribbecker Straße 26–28, 34–68 Rummelsburger Straße 22–38, Zachertstraße 49–63, 52, 56–62
","Erlenhof, Pappelhof und Ulmenhof: Wohnanlagen mit Vorgärten, Straßen und Wegen",1929–1931 von Jacobus Goettel (siehe Gartendenkmal Kraetkestraße 3–41),52.494082,13.505745,""
09040197,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040197,"Lincolnstraße 3–7, 9–18, 20–36, 42–64
Bietzkestraße 19–29, Eggersdorfer Straße 23–43, Einbecker Straße 56, 60, Zachertstraße 19, 20–28
",Wohnanlage mit Vorgärten und Kastanienallee,"1926/1927 von Mebes & Emmerich, Teilwiederaufbau 1951",52.506647,13.504615,""
09040151,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040151,"Alfred-Kowalke-Straße 16
",Wohnhaus,um 1880 (siehe Ensemble Alfred-Kowalke-Straße 34 …),52.505915,13.520637,""
09040153,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040153,"Alfred-Kowalke-Straße 34
",ehemaliges Inspektorhaus,um 1835 (siehe Ensemble Alfred-Kowalke-Straße 3-4 …),52.506034,13.517977,""
09040156,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040156,"Alfred-Kowalke-Straße 39
",Wohnhaus,um 1880 (siehe Ensemble Alfred-Kowalke-Straße 34 …),52.505831,13.515787,""
09040204,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040204,"Am Tierpark / Tierparkgelände
",Cafeteria,1963 von Heinz Graffunder und Architektenkollektiv,52.504852,13.528928,""
09040202,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040202,"Am Tierpark / Tierparkgelände
",Erbbegräbnis Familie von Treskow,"",52.497424,13.526754,""
09040205,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040205,"Am Tierpark / Tierparkgelände
",Gedenkstätte „Lager Wuhlheide“,um 1980,52.49798_,13.531341_,""
09040201,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040201,"Am Tierpark / Tierparkgelände
",Imbiss / Kinderzoo,um 1960 von Heinz Graffunder und Architektenkollektiv,52.499227,13.529338,""
09040203,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040203,"Am Tierpark / Tierparkgelände
",Lennéhügel,"Pavillon, um 1960 von Heinz Graffunder und Architektenkollektiv",52.502666,13.527579,""
09040213,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040213,"Ontarioseestraße 17
","Hallenkomplex des ehemaligen Wasserwerkes Triftweg II / Friedrichsfelde, Sewanstraße",1912,52.494946,13.522623,""
09040214,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040214,"Rummelsburger Straße 3
",Turnhalle,1893,52.504127,13.513355,""
09040217,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040217,"Rummelsburger Straße 71–73
",Grabmal Adolph Schlicht auf dem Städtischen Friedhof,um 1910,52.500156,13.500259,""
09045897,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045897,"Am Tierpark
",ehemaliger Schlosspark Friedrichsfelde,"Nordparterre, erste Lustgartenanlage 1695 von Johann Arnold Nering, spätere Veränderungen; Bestandsplan 1767 von Christoph Friedrich Reichnow, Wiederherstellung 1986/1987;
Südparterre: Reste des Landschaftsgartens mit Achsen- und Kanalsystem, ab 1822 von Peter Joseph Lenné, Wiederherstellung ab 1955 von Editha Bendig (siehe Gesamtanlage Am Tierpark und Baudenkmal Am Tierpark / Tierparkgelände)
",52.502896,13.52462_,""
09045900,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045900,"Kraetkestraße 3–41
",Freiflächen der Wohnanlage Ulmenhof,"um 1930 (siehe Gesamtanlage Kraetkestraße 2–41), Ribbecker Straße 34–68, Rummelsburger Straße 22–30, Zachertstraße 56–62",52.504412,13.508524,""
09040208,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009040208,"Einbecker Straße 45
",Mietshaus,um 1880; Abriss zwischen 2006–2008,52.509469,13.504749,""
