09045833,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045833,"Ahornallee 13–15
","Ensemble Ahornallee
Baudenkmal siehe: Ahornallee 13",Weitere Bestandteile des Ensembles:,52.453386,13.618003,""
09095684,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009095684,"Bölschestraße 3–136
Am Goldmannpark 1, 2, Aßmannstraße 44/46, 55, Fürstenwalder Damm 484
","Kolonistensiedlung Friedrichshagen
Baudenkmale siehe: Bölschestraße, Kirche; 6; 25; 27–28; 58; 66; 83; 84–85; 87; 115; 116; 125",Konstituierende Bestandteile des Ensembles:,52.452018,13.624984,""
09045641,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045641,"Scharnweberstraße 1–124
Am Goldmannpark 24, Aßmannstraße 63, 66, Breestpromenade 2, Drachholzstraße, Dreiserstraße 2–3, Karl-Pokern-Straße 1, Kastanienallee 16–16A, Müggelseedamm 183, 189, Rahnsdorfer Straße 1, 2
",Wohnhäuser,Konstituierende Bestandteile des Ensembles:,52.451364,13.627614,""
09045775,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045775,"Löbauer Weg 1/13
",Wohnanlage,1925–29,52.455633,13.615532,""
09045626,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045626,"Müggelseedamm 133
",Wohnsiedlung,1920 von Bruno Nerlich,52.446587,13.619904,""
09045747,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045747,"Müggelseedamm 164–166
",Berliner Bürgerbräu,"um 1900, Umbauten um 1925, mit Bürogebäude; Maschinenhaus, Lagergebäude; Altes Sudhaus mit technischer Einrichtung; Kesselhaus, Kohlenbunker, Elevator-Turm; Wirtschaftsgebäude; Gaststätte Bräustübl mit Saalanbau",52.446093,13.6243_E,""
09045851,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045851,"Müggelseedamm 237
",Mietshaus,"1903 von R. Abbé; Seitenflügel, 1895; Wirtschaftsgebäude, 1898; Gartenpavillon",52.447584,13.633421,""
09045854,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045854,"Müggelseedamm 301–307, 308/310
",Wasserwerk Friedrichshagen,1889–93 von Richard Schultze und Henry Gill; mit Werksgarten,52.450894,13.64297_,""
09045855,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045855,"Peter-Hille-Straße 36
",Bildgießerei Gladenbeck und Sohn AG,1887,52.452762,13.619617,""
09045834,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045834,"Ahornallee 13
",Wohnhaus,1876 von Magdeburg & Kurfiss,52.453481,13.618189,""
